,abstract,link,reference,title,year
0,"This research uses differential association, techniques of neutralization, and rational choice theory to study those who operate “services”: websites that illegally offer denial-of-service attacks for a fee. services provide “easy money” for the young males that run …",https://www.tandfonline.com/doi/abs/10.1080/01639625.2016.1169829,", R Clayton - Deviant Behavior, 2016 - Taylor & Francis",Exploring the provision of online booter services,2016
1,"Distributed denial-of-service (DDoS) attacks, the practice by which a malicious party attempts to disrupt a host or network service, has become an increasingly common and effective method of attack. In this article, we summarize what we have learned while …",https://www.usenix.org/publications/login/december-2013-volume-38-number-6/rent-pwn-analyzing-commodity-booter-ddos,"M Karami,  - Usenix login, 2013 - usenix.org",Rent to pwn: Analyzing commodity booter DDoS services,2013
2,"The expansion of Distributed Denial of Service (DDoS) for hire websites, known as Booters, has radically modified both the scope and stakes of DDoS attacks. Until recently, however, Booters have only received little attention from the research community. Given their impact …",https://ieeexplore.ieee.org/abstract/document/7818410/,", , … - … on Network and …, 2016 - ieeexplore.ieee.org",blacklist: Unveiling DDoS-for-hire websites,2016
3,"We present techniques for attributing amplification DDoS attacks to the services that launched the attack. Our k-Nearest Neighbor (k-NN) classification algorithm is based on features that are characteristic for a DDoS service, such as the set of reflectors used by that …",https://link.springer.com/chapter/10.1007/978-3-319-66332-6_19,", M Karami, , … - … Symposium on Research …, 2017 - Springer",Linking amplification DDoS attacks to booter services,2017
4,"Distributed Denial of Service (DDoS) attacks mean millions in revenue losses to many industries, such e-commerce and online financial services. The amount of reported DDoS attacks has increased with 47% compared to 2013. One of the reasons for this increase is …",https://pdfs.semanticscholar.org/2c88/71f4e7260e9a40642858a24f05420b233d23.pdf,", … - Brazilian Symposium …, 2015 - pdfs.semanticscholar.org",websites characterization: Towards a list of threats,2015
5,"… This RFC describes how system to be booted (called the """" below) would use TFTPto load a desired code file … To load a file, the  sends a standard TFTP read request(RRQ) packet, containing the name of the file to be loaded … ",http://www.rfc-editor.org/info/rfc906,R Finlayson - 1984 - rfc-editor.org,Bootstrap loading using TFTP,1984
6,"A A NDE N LEEZER. # E Nyt wel eer gebelgd, om dat ik iets , kwam ſchryven, # I Verhoop ik dat nu in haar Nacht-Spilonk fº/ A zal blyven, %. En daagen myn niet in het wreede Wor- - ſtel Park, Ik Zing nu van geen Goön, maar van de -Mark, Hoe 't daar op Maandag gaat, en …",https://books.google.nl/books?hl=nl&lr=&id=7QtpAAAAcAAJ&oi=fnd&pg=PA3&dq=%22booter%22&ots=l1HJuDQVK-&sig=aIq1cRK8kK5CnuOQCI4tWJidZKc,J Rosseau - 1718 - books.google.com,De booter -markt: klvgtspel,1718
7,,,P Siewert - 1981 - De Gruyter,,1981
8,"Why should you care about Distributed Denial of Service (DDoS) attacks? If your Internet home connection would be the target of a DDoS attack, then not only your connectivity is gone, but also your telephone and TV programs. This is because many homes have triple …",https://research.utwente.nl/en/publications/ddos-as-a-service-investigating-booter-websites, - 2017 - research.utwente.nl,DDoS-as-a-Service: investigating booter websites,2017
9,"Since adopting the Administrative Procedure Act (APA) in 1974, 1 the Florida Legislature has not appeared to be satisfied with the methods of legislative oversight and control of agency rulemaking which are contained in the Act. 2 Furthermore, in an era of de-regulation …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/uflr48&section=9,"JP Rhea, PLB Imhof - Fla. L. Rev., 1996 - HeinOnline",An Overview of the 1996 Administrative Procedure Act,1996
