,abstract,link,reference,title,year
0,"A is a closely monitored network decoy serving several purposes: it can distract adversaries from more valuable machines on a network, provide early warning about new attack and exploitation trends, or allow in-depth examination of adversaries during and after …",https://www.usenix.org/event/sec04/tech/full_papers/provos/provos_html," - USENIX Security Symposium, 2004 - usenix.org",A Virtual honeypot Framework.,2004
1,"Spammers continually scan the Internet for open proxy relays: by using these open relays, they can obscure their originating IP address and remain anonymous. However, when a spammer comes across a service on a , that can collect valuable …",https://ieeexplore.ieee.org/abstract/document/1264861/,"N Krawetz - IEEE Security & Privacy, 2004 - ieeexplore.ieee.org",Anti-honeypot technology,2004
2,"Honeypots are closely monitored network decoys serving several purposes: they can distract adversaries from more valuable machines on a network, they can provide early warning about new attack and exploitation trends and they allow in-depth examination of …",https://www.researchgate.net/profile/Niels_Provos/publication/250395424_Honeyd_A_Virtual_Honeypot_Daemon_Extended_Abstract/links/5b75b9e1299bf14c6da9df18/Honeyd-A-Virtual-Honeypot-Daemon-Extended-Abstract.pdf," - 10th DFN-CERT Workshop, Hamburg, Germany, 2003 - researchgate.net",Honeyd-a virtual honeypot daemon,2003
3,"The number of client-side attacks has grown significantly in the past few years, shifting focus away from defendable positions to a broad, poorly defended space filled with vulnerable clients. Just as honeypots enabled deep research into server-side attacks, honeyclients can …",https://www.usenix.org/legacy/event/leet09/tech/full_papers/nazario/nazario.pdf," - LEET, 2009 - usenix.org",PhoneyC: A Virtual Client honeypot .,2009
4,"Some attacks on honeypots are very frequent and repetitive. In addition, such repetitive attacks generate a very large amount of data. In this paper, we show that it might be misleading to consider general statistics obtained on these data without carrying an in depth …",ftp://ftp.mirror.ac.za/www.honeynet.org/papers/individual/AusCERT_fullpaper_BIS.pdf,"F Pouget,  - AusCERT Asia Pacific Information Technology …, 2004 - mirror.ac.za",-based forensics,2004
5,"Because"" botnets"" can be used for illicit financial gain, they have become quite popular in recent Internet attacks."" Honeypots"" have been successfully deployed in many defense systems. Thus, attackers constructing and maintaining botnets are forced to find ways to …",https://ieeexplore.ieee.org/abstract/document/1633509/,", R Cunningham - International Conference on …, 2006 - ieeexplore.ieee.org",-aware advanced botnet construction and maintenance,2006
6,"A is a security device that is designed to lure malicious activity to itself. Capturing such malicious activity allows for studying it to understand the operations and motivation of attackers, and subsequently helps to better secure computers and networks. A  …",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.61.6882&rep=rep1&type=pdf,"C Seifert, ,  - Proceedings of the 2007 NZCSRCS …, 2007 - Citeseer",Honeyc-the low-interaction client ,2007
7,"Modern technology in the area of intrusion detection is technology that, unlike common IDSs, tends to provide the attacker with all the necessary resources needed for a successful attack. Honeypots provide a platform for studying the methods and tools used by …",https://ieeexplore.ieee.org/abstract/document/1356776/,"I Kuwatly, M Sraj, Z Al Masri… - The IEEE/ACS …, 2004 - ieeexplore.ieee.org",A dynamic honeypot design for intrusion detection,2004
8,"Botnets have become one of the major attacks in the internet today due to their illicit profitable financial gain. Meanwhile, honeypots have been successfully deployed in many computer security defence systems. Since honeypots set up by security defenders can …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.449.631&rep=rep1&type=pdf,", , R Cunningham,  - International Journal of …, 2010 - Citeseer",detection in advanced botnet attacks,2010
9,We present the conceptual framework of the Social Project for uncovering social spammers who target online communities and initial empirical results from Twitter and MySpace. Two of the key components of the Social Project are:(1) The …,https://dl.acm.org/citation.cfm?id=1772843,", ,  - … of the 19th international conference on …, 2010 - dl.acm.org",The social honeypot project: protecting online communities from spammers,2010
10,This paper presents an experimental study and the lessons learned from the observation of the attackers when logged on a compromised machine. The results are based on a six months period during which a controlled experiment has been run with a high interaction …,https://ieeexplore.ieee.org/abstract/document/4020829/,"E Alata, V Nicomette, … - 2006 Sixth European …, 2006 - ieeexplore.ieee.org",Lessons learned from the deployment of a high-interaction ,2006
11,A virtual is configured within a security appliance by configuring one or more network addresses associated with the virtual . The security appliance receives network traffic destined for the virtual sent to the one or more network addresses …,https://patents.google.com/patent/US20140096229A1/en,"B Burns, O Ibatullin, O Tavakoli… - US Patent App. 13 …, 2014 - Google Patents",Virtual ,2014
12,"A is a supplemented active defense system for network security. It traps attacks, records intrusion information about tools and activities of the hacking process, and prevents attacks outbound the compromised system. Integrated with other security solutions, a …",https://ieeexplore.ieee.org/abstract/document/1236295/,"F Zhang, S Zhou, Z Qin, J Liu - Proceedings of the Fourth …, 2003 - ieeexplore.ieee.org",: a supplemented active defense system for network security,2003
13,There are several well known techniques to observe criminal activities on the monitoring its traffic. One option consists in using global telescopes or dark offer interesting views of global trends. Another solution consists in centralizin logs and intrusion detection system alerts to …,ftp://hg.mirror.ac.za/www.honeynet.org/papers/individual/ECCE_pouget_dacier_pham.pdf,"F Pouget, ,  - proceedings of the e-crime and …, 2005 - hg.mirror.ac.za",On the advantages of deploying a large scale distributed honeypot platform,2005
14,"With the rapid evolution and proliferation of botnets, large-scale cyber attacks such as DDoS, spam emails are also becoming more and more dangerous and serious cyber threats. Because of this, network based security technologies such as Network based …",https://dl.acm.org/citation.cfm?id=1978676,"J Song, , Y Okabe, M Eto, D Inoue… - Proceedings of the First …, 2011 - dl.acm.org",Statistical analysis of honeypot data and building of Kyoto 2006+ dataset for NIDS evaluation,2011
15,"A network security system includes a system data store capable of storing a variety of data associated with a wireless computer network and communication transmitted thereon, a communication interface supporting wireless communication over the wireless computer …",https://patents.google.com/patent/US7042852B2/en,"S Hrastar - US Patent 7,042,852, 2006 - Google Patents",System and method for wireless LAN dynamic channel change with honeypot trap,2006
16,"A in a computer network is configured for use with a wide variety of computing resources that are defined by a network administrator or user which may include desktop and network resources such as address book contacts, instant messaging contacts, active …",https://patents.google.com/patent/US8181250B2/en,"Z Rafalovich, L Arzi, R Karidi, E Hudis - US Patent 8,181,250, 2012 - Google Patents",Personalized honeypot for detecting information leaks and security breaches,2012
17,In this paper we review the recent advances in . Some notable proposals and there analysis have been discussed. The aspects of using in education and in hybrid environment with IDS have been explained. In this paper we also defines the use of …,https://www.researchgate.net/profile/Abhishek_Mairh/publication/220846415_Honeypot_in_network_security_A_survey/links/562a830f08aef25a24401f57/Honeypot-in-network-security-A-survey.pdf,"A Mairh, D Barik, K Verma,  - Proceedings of the 2011 …, 2011 - researchgate.net",in network security: a survey,2011
18,"A method, system, apparatus, or computer program product is presented for morphing a system on a dynamic and configurable basis. The morphing emulates a variety of services while falsely presenting information about potential vulnerabilities within …",https://patents.google.com/patent/US7383578B2/en,"KW Blake, VK Converse, RON Edmark… - US Patent …, 2008 - Google Patents",Method and system for morphing ,2008
19,"Attacks of Ransomware are increasing, this form of malware bypasses many technical solutions by leveraging social engineering methods. This means established methods of perimeter defence need to be supplemented with additional systems. Honeypots are bogus …",https://ieeexplore.ieee.org/abstract/document/7600214/," - 2016 Cybersecurity and Cyberforensics Conference …, 2016 - ieeexplore.ieee.org",Detecting ransomware with honeypot techniques,2016
20,"A method, system, apparatus, or computer program product is presented for morphing a system on a dynamic and configurable basis. The morphing emulates a variety of services while falsely presenting information about potential vulnerabilities within …",https://patents.google.com/patent/US7412723B2/en,"KW Blake, VK Converse, RON Edmark… - US Patent …, 2008 - Google Patents",Method and system for morphing honeypot with computer security incident correlation,2008
