,abstract,link,reference,title,year
1,"Spammers continually scan the Internet for open proxy relays: by using these open relays, they can obscure their originating IP address and remain anonymous. However, when a spammer comes across a service on a , that can collect valuable …",https://ieeexplore.ieee.org/abstract/document/1264861/,"N Krawetz - IEEE Security & Privacy, 2004 - ieeexplore.ieee.org",Anti-honeypot technology,2004
5,"Because"" botnets"" can be used for illicit financial gain, they have become quite popular in recent Internet attacks."" Honeypots"" have been successfully deployed in many defense systems. Thus, attackers constructing and maintaining botnets are forced to find ways to …",https://ieeexplore.ieee.org/abstract/document/1633509/,", R Cunningham - International Conference on …, 2006 - ieeexplore.ieee.org",-aware advanced botnet construction and maintenance,2006
7,"Modern technology in the area of intrusion detection is technology that, unlike common IDSs, tends to provide the attacker with all the necessary resources needed for a successful attack. Honeypots provide a platform for studying the methods and tools used by …",https://ieeexplore.ieee.org/abstract/document/1356776/,"I Kuwatly, M Sraj, Z Al Masri… - The IEEE/ACS …, 2004 - ieeexplore.ieee.org",A dynamic honeypot design for intrusion detection,2004
10,This paper presents an experimental study and the lessons learned from the observation of the attackers when logged on a compromised machine. The results are based on a six months period during which a controlled experiment has been run with a high interaction …,https://ieeexplore.ieee.org/abstract/document/4020829/,"E Alata, V Nicomette, … - 2006 Sixth European …, 2006 - ieeexplore.ieee.org",Lessons learned from the deployment of a high-interaction ,2006
12,"A is a supplemented active defense system for network security. It traps attacks, records intrusion information about tools and activities of the hacking process, and prevents attacks outbound the compromised system. Integrated with other security solutions, a …",https://ieeexplore.ieee.org/abstract/document/1236295/,"F Zhang, S Zhou, Z Qin, J Liu - Proceedings of the Fourth …, 2003 - ieeexplore.ieee.org",: a supplemented active defense system for network security,2003
19,"Attacks of Ransomware are increasing, this form of malware bypasses many technical solutions by leveraging social engineering methods. This means established methods of perimeter defence need to be supplemented with additional systems. Honeypots are bogus …",https://ieeexplore.ieee.org/abstract/document/7600214/," - 2016 Cybersecurity and Cyberforensics Conference …, 2016 - ieeexplore.ieee.org",Detecting ransomware with honeypot techniques,2016
24,"Rigorously characterizing the statistical properties of cyber attacks is an important problem. In this paper, we propose the first statistical framework for rigorously analyzing -captured cyber attack data. The framework is built on the novel concept of stochastic cyber …",https://ieeexplore.ieee.org/abstract/document/6587320/,", ,  - IEEE Transactions on Information …, 2013 - ieeexplore.ieee.org",Characterizing honeypot -captured cyber attacks: Statistical framework and case study,2013
25,"A major goal of research is to improve our knowledge of blackhats from two perspectives: technical and ethnological. For the former we want new ways to discover rootkits, Trojans, and potential zero-day exploits. For the latter, we want a better …",https://ieeexplore.ieee.org/abstract/document/1324605/,"F Raynal, Y Berthier, P Biondi… - IEEE Security & …, 2004 - ieeexplore.ieee.org",forensics part 1: analyzing the network,2004
27,"This paper presents a summary of university research performed on techniques and summarizes the results Honeypots are computing resources that serve no other purpose on a network than to be a target for attackers, and log data about the attacks. Low …",https://ieeexplore.ieee.org/abstract/document/1579742/,"R McGrew - Proceedings of the 39th Annual Hawaii …, 2006 - ieeexplore.ieee.org","Experiences with honeypot systems: Development, deployment, and analysis",2006
34,"Honeypots are computer systems that try to fool cyberattackers into thinking they are ordinary computer systems, when in fact they are designed solely to collect data about attack methods and thereby enable better defense against attackers. Honeypots are more effective …",https://ieeexplore.ieee.org/abstract/document/1579551/,"NC Rowe - Proceedings of the 39th Annual Hawaii …, 2006 - ieeexplore.ieee.org",Measuring the effectiveness of honeypot counter-counterdeception,2006
35,Voice over IP (VoIP) or telephony services over Internet announces a new revolution in the telecommunication world tor its management simplicity and cost reduction. VoIP security extends the existent risk range of IP protocols and infrastructures and introduces new attacks …,https://ieeexplore.ieee.org/abstract/document/4258527/,", R State,  - 2007 10th IFIP/IEEE International …, 2007 - ieeexplore.ieee.org",VoIP honeypot architecture,2007
38,The deployment of low-interaction honeypots used mainly as deception tools has become more and more common these days. Another interesting but more resource and time consuming playground is made available thanks to high interaction honeypots where a …,https://ieeexplore.ieee.org/abstract/document/1437793/,"F Raynal, Y Berthier, P Biondi… - Proceedings from the …, 2004 - ieeexplore.ieee.org",forensics,2004
39,"Advanced metering infrastructure (AMI) is an important component for a smart grid system to measure, collect, store, analyze, and operate users consumption data. The need of communication and data transmission between consumers (smart meters) and utilities make …",https://ieeexplore.ieee.org/abstract/document/7857804/,", M Du, … - IEEE Transactions on …, 2017 - ieeexplore.ieee.org",Strategic honeypot game model for distributed denial of service attacks in the smart grid,2017
41,"Modern attacks are being made against client side applications, such as web browsers, which most users use to surf and communicate on the internet. Client honeypots visit and interact with suspect web sites in order to detect and collect information about malware to …",https://ieeexplore.ieee.org/abstract/document/5463678/,",  - 2010 Third International Conference on …, 2010 - ieeexplore.ieee.org",Honeyware: a web-based low interaction client ,2010
42,"The Denial-of-Service (DoS) attack remains a challenging problem in the current Internet. In a DoS defense mechanism, a acts as a decoy within a pool of servers, whereby any packet received by the is most likely an attack packet. We have previously …",https://ieeexplore.ieee.org/abstract/document/1639674/,", , … - Proceedings 20th IEEE …, 2006 - ieeexplore.ieee.org",back-propagation for mitigating spoofing distributed denial-of-service attacks,2006
44,"Although flows are an effective method for monitoring honeypots in real time, they are not sufficient if we want to learn more about the intruder. To accomplish this goal, we must investigate the compromised host itself. In this article, we show how to build two timelines of …",https://ieeexplore.ieee.org/abstract/document/1341417/,"F Raynal, Y Berthier, P Biondi… - IEEE security & …, 2004 - ieeexplore.ieee.org","forensics, Part II: analyzing the compromised host",2004
45,"Wireless mesh networking (WMN), the static mesh routers (MRs) cooperatively relay each other packets to the Internet Gateway (IGW). The routing protocols assume all the nodes in the network to be non-malicious. However, the open architecture of WMNs paves way to …",https://ieeexplore.ieee.org/abstract/document/5336925/,"A Prathapani, L Santhanam… - 2009 IEEE 6th …, 2009 - ieeexplore.ieee.org",Intelligent honeypot agent for blackhole attack detection in wireless mesh networks,2009
49,"We present an application of a in detection collaboration with an intrusion detection system. We have designed and implemented a port-scan detection system for scan detection, which can work as a module of the intrusion detection system and …",https://ieeexplore.ieee.org/abstract/document/1345313/,"C Yin, M Li, J Ma, J Sun - Canadian Conference on Electrical …, 2004 - ieeexplore.ieee.org",and scan detection in intrusion detection system,2004
52,"With the improvement of software security, attacks based on RPC vulnerabilities declined, however, attacks based on client application software vulnerabilities have increased. Such client application software includes Web browsers, email client and office. The spread of …",https://ieeexplore.ieee.org/abstract/document/4709194/,"X Sun, Y Wang, J Ren, Y Zhu… - 2008 The 9th International …, 2008 - ieeexplore.ieee.org",Collecting internet malware based on client-side ,2008
54,"Attack detection in high-speed networks is a hot research topic. While the performance of packet oriented signature-based approaches is questionable, flow-based anomaly detection shows high false positive rates. We tried to combine both techniques. In this paper, we study …",https://ieeexplore.ieee.org/abstract/document/5755487/,", W Jaegers, R German - … in Distributed Systems-15 …, 2007 - ieeexplore.ieee.org",Flow-based worm detection using correlated honeypot logs,2007
57,"Honeypots are physical or virtual machines successfully used as intrusion detection tools to detect worm-infected hosts. Denial of service (DoS) attack consumes the resources of a remote client or network itself, there by denying or degrading the service to the legitimate …",https://ieeexplore.ieee.org/abstract/document/4777392/," - 2009 International Conference on Advanced …, 2009 - ieeexplore.ieee.org",scheme for distributed denial-of-service,2009
