,abstract,link,reference,title,year
0,This document is a product of the Internet Engineering Task Force (IETF). It represents the consensus of the IETF community. It has received public review and has been approved for publication by the Internet Engineering Steering Group (IESG). Further information on Internet Standards is …,http://www.rfc-editor.org/rfc/pdfrfc/rfc7674.txt.pdf,J Haas - 2015 - rfc-editor.org,Clarification of the flowspec Redirect Extended Community,2015
1,Effective service chaining enforcement along TE paths is proposed using Segment Routing and extended BGP for micro-flows mapping. The proposed solution is experimentally evaluated with a deep packet inspection service supporting dynamic flow …,https://www.osapublishing.org/abstract.cfm?uri=OFC-2017-W4J.3,", , … - Optical Fiber …, 2017 - osapublishing.org",Service chaining in multi-layer networks using segment routing and extended BGP ,2017
2,The BERKOM multimedia transport service provides a communication platform for audiovisual communication. It incorporates a modified version of the Xpress Transfer Protocol (XTP-Lite) and the Internet Stream protocol Version II (ST-II). For the utilisation of …,https://ieeexplore.ieee.org/abstract/document/369006/,"S Damaskos,  - Proceedings of ICC/SUPERCOMM'94 …, 1994 - ieeexplore.ieee.org",The BERKOM-II flowspec and its Mapping on ATM,1994
3,Page 1. Leonardo Serodio leonardo.serodio@alcatel-lucent.com May 2013 Traffic DiversionTechniques for DDoS Mitigation using BGP  Page 2. 2 Distributed Denial of Service(DDoS) Attacks Service Provider Network Internet DDoS attack traffic saturates inline security …,https://www.nanog.org/sites/default/files/wed.general.trafficdiversion.serodio.10.pdf,L Serodio - 2013 - nanog.org,Traffic diversion techniques for DDoS mitigation using BGP ,2013
4,"… services together. It defines the usage and contents of three RSVP protocol objects,the , ADSPEC, and SENDER_TSPEC, in an environment supporting theControlled-Load and/or Guaranteed QoS control services. If … ",http://www.rfc-editor.org/rfc/pdfrfc/rfc2210.txt.pdf,J Wroclawski - 1997 - rfc-editor.org,The use of RSVP with IETF integrated services,1997
5,"… RSVP is a two-pass signaling protocol, that it takes two messages, PATH and RESV, tocomplete a reservation. To setup a reservation between source S and destination D, Sfirst adds a reservation description or  in a PATH message … ",https://www.sciencedirect.com/science/article/pii/S1388343701801074,"P Pan,  - Teletraffic Science and Engineering, 2001 - Elsevier",Processing overhead studies in resource reservation protocols,2001
6,,,"L Delgrossi, RG Herrtwich, FO Hoffmann - 1993 - European Networking Center",,1993
7,,,"P Iovanna, R Mameli, G Piantanida, S Salsano - … /draft-iovanna-rsvp-mpls- …, 2001",,2001
8,"… An elementary DRSVP reservation request consists of  andfiiter spec, calledflowdescriptor. The  specifies the range of desired QoS, represented by ( QM ~ , QM~"") sym-bolically, where QMax denotes the maximum QoS needed, QMjn the minimum … ",https://ieeexplore.ieee.org/abstract/document/1200113/,"GS Kuo, PC Ko - IEEE Communications Magazine, 2003 - ieeexplore.ieee.org",Dynamic RSVP protocol,2003
9,"… cation • the  parameter, which specifies fourteen flow parameters. The ST-2 … 5-Page 6. meets the flow specification's requirements as best it can, updates the and passes the  to the downstream agent. The final targets … ",https://pdfs.semanticscholar.org/312e/8bd909907a280c13255a5bfff720766a199d.pdf,", S Pink - Internetworking: Research and …, 1992 - pdfs.semanticscholar.org",An implementation of the revised internet stream protocol (ST-2),1992
10,… This document introduces Ethernet SENDER_TSPEC and -specific objects in supportof Metro Ethernet Forum (MEF) Ethernet traffic parameters as specified in [MEF10.1] andITU-T Ethernet Service Switching as discussed in [RFC6004]. For example … ,http://www.rfc-editor.org/info/rfc6003,D Papadimitriou - 2010 - rfc-editor.org,Ethernet Traffic Parameters,2010
11,"… Two additional elements round out the IntServ architecture. s  … With this information inhand, the applica- tion signals the RSVP component to generate an RSVP RESV messagecontaining a flow descriptor that can be broken down into a filterspec and a  … ",https://ieeexplore.ieee.org/abstract/document/769427/,"C Metz - IEEE Internet Computing, 1999 - ieeexplore.ieee.org",RSVP: General-purpose signaling for IP,1999
12,"… receiver (egress). The original model of communication, defined in [RFC2205] andmaintained in [RFC3209], used the SENDER_TSPEC and ADSPEC objects in Pathmessages and the  object in Resv messages. The … ",http://www.rfc-editor.org/info/rfc5467,"L Berger, , , D Fedyk, J Meuric - 2009 - rfc-editor.org",GMPLS Asymmetric Bandwidth Bidirectional Label Switched Paths (LSPs),2009
13,"… Style -  - A SCOPE object (optional, depending upon style) … Filter_spec_list - TC_Flowspec,the effective , ie, the LUB over the corresponding  values from matchingRSB's. TC_Flowspec is passed to traffic control to make the actual reservation … ",http://www.rfc-editor.org/info/rfc2209,"R Braden,  - 1997 - rfc-editor.org",Resource ReSerVation Protocol (RSVP)--Version 1 Message Processing Rules,1997
14,… The one-pass reservation model in the YESSIR proposal works as the following: SenderË initiates a reservation by sending a  to all receivers . The message that carriesthe  propagates through the network to- ward the receivers … ,https://academiccommons.columbia.edu/doi/10.7916/D8JT02KQ,"P Pan,  - 2000 - academiccommons.columbia.edu","Lightweight resource reservation signaling: Design, performance and implementation",2000
15,"… management sock, options ( | QoSPolicy | maint | monitor | signal | adapt | filter | event)structure ( | QoSPolicy | maint | monitor | signal | adapt | filter | event) sizeof ( |QoSPolicy | maint | monitor | ignal | adapt | filter | event) Status signalQoS type (signal … ",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.17.7209&rep=rep1&type=pdf,",  - ACM Multimedia, 1996 - Citeseer","A QoS adaptive transport system: Design, implementation and experience",1996
